,SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,Sample,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
84,20250417-MARS-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,20250417-MARS-150m-3,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
85,20250417-MARS-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,20250417-MARS-300m-1,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
86,20250417-MARS-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,20250417-MARS-300m-2,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
87,20250417-MARS-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,20250417-MARS-300m-3,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
88,20250417-MARS-torp-A,NA,04.17.2025,09:40:00,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,A,5,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,20250417-MARS-torp-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,20250417-MARS-torp-B,NA,04.17.2025,09:40:00,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,B,5,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,20250417-MARS-torp-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,20250417-OSWS-010m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,20250417-OSWS-010m-1,10,TRUE,10,0,33.15715456,12.89785078,0.128503003,6.260867254,272.7942368,10.07455919,12.8965071,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
91,20250417-OSWS-010m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,20250417-OSWS-010m-2,10,TRUE,10,0,33.15715456,12.89785078,0.128503003,6.260867254,272.7942368,10.07455919,12.8965071,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
92,20250417-OSWS-010m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,NA,3,NA,12,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,20250417-OSWS-010m-3,10,TRUE,10,0,33.15715456,12.89785078,0.128503003,6.260867254,272.7942368,10.07455919,12.8965071,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
93,20250417-OSWS-017m-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,1,NA,7,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,20250417-OSWS-017m-1,17,TRUE,17,0,33.17385091,12.3023,0.131954545,5.909689091,257.4602909,17.12727273,12.30008835,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
94,20250417-OSWS-017m-2,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,2,NA,8,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,20250417-OSWS-017m-2,17,TRUE,17,0,33.17385091,12.3023,0.131954545,5.909689091,257.4602909,17.12727273,12.30008835,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
95,20250417-OSWS-017m-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,3,NA,9,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,20250417-OSWS-017m-3,17,TRUE,17,0,33.17385091,12.3023,0.131954545,5.909689091,257.4602909,17.12727273,12.30008835,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
96,20250417-OSWS-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,20250417-OSWS-150m-1,150,TRUE,150,0,34.00498506,8.693027984,0.007973112,2.105005416,91.59366901,151.1313942,8.67721621,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
97,20250417-OSWS-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,20250417-OSWS-150m-2,150,TRUE,150,0,34.00498506,8.693027984,0.007973112,2.105005416,91.59366901,151.1313942,8.67721621,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
98,20250417-OSWS-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,20250417-OSWS-150m-3,150,TRUE,150,0,34.00498506,8.693027984,0.007973112,2.105005416,91.59366901,151.1313942,8.67721621,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
99,20250417-OSWS-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,20250417-OSWS-300m-1,300,TRUE,295,5,34.12037128,7.740829379,0.007326,1.365697476,59.41132357,297.4023221,7.711507002,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
100,20250417-OSWS-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,20250417-OSWS-300m-2,300,TRUE,295,5,34.12037128,7.740829379,0.007326,1.365697476,59.41132357,297.4023221,7.711507002,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
101,20250417-OSWS-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,20250417-OSWS-300m-3,300,TRUE,295,5,34.12037128,7.740829379,0.007326,1.365697476,59.41132357,297.4023221,7.711507002,SynchroOSW - Spring2025 - CTD - Synchro1.cnv
102,20250417-OSWS-air-1,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,20250417-OSWS-air-2,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,20250417-OSWS-air-3,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,20250417-OSWS-air-st-1,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-st-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,20250417-OSWS-air-st-2,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-st-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,20250417-OSWS-air-st-3,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-air-st-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,20250417-OSWS-torp-1,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,1,3,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-torp-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,20250417-OSWS-torp-2,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,2,3,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,20250417-OSWS-torp-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,20250418-C1-010m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,1,NA,7,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-1,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
111,20250418-C1-010m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,1,NA,7,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-1b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
112,20250418-C1-010m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,2,NA,8,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-2,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
113,20250418-C1-010m-2-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,NA,3,NA,9,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-2-2,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
114,20250418-C1-010m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,2,NA,8,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-2b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
115,20250418-C1-010m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,NA,3,NA,9,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-3b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
116,20250418-C1-010m-4,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,4,NA,10,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-4,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
117,20250418-C1-010m-4b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,4,NA,10,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-4b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
118,20250418-C1-010m-5,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,5,NA,11,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-5,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
119,20250418-C1-010m-5b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,5,NA,11,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-5b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
120,20250418-C1-010m-6,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,6,NA,12,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-6,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
121,20250418-C1-010m-6b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,6,NA,12,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,20250418-C1-010m-6b,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
122,20250418-C1-017m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,1,NA,4,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-1,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
123,20250418-C1-017m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,1,NA,4,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-1b,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
124,20250418-C1-017m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,2,NA,5,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-2,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
125,20250418-C1-017m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,2,NA,5,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-2b,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
126,20250418-C1-017m-3,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,3,NA,6,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-3,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
127,20250418-C1-017m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,3,NA,6,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,20250418-C1-017m-3b,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
128,20250418-C1-150m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,1,NA,1,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-1,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
129,20250418-C1-150m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,1,NA,1,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-1b,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
130,20250418-C1-150m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,2,NA,2,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-2,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
131,20250418-C1-150m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,2,NA,2,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-2b,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
132,20250418-C1-150m-3,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,3,NA,3,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-3,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
133,20250418-C1-150m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,3,NA,3,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,20250418-C1-150m-3b,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
134,20250418-C1-air-st-1,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,20250418-C1-air-st-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,20250418-C1-air-st-2,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,20250418-C1-air-st-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,20250418-C1-air-st-3,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,20250418-C1-air-st-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,20250418-C1-torp-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,0,passive,0.22,1,3,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,20250418-C1-torp-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,20250418-C1-torp-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,0,passive,0.22,2,3,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,20250418-C1-torp-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,20250418-M2-010m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,20250418-M2-010m-1,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
140,20250418-M2-010m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,20250418-M2-010m-2,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
141,20250418-M2-010m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,20250418-M2-010m-3,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
142,20250418-M2-050m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,1,NA,7,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,20250418-M2-050m-1,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
143,20250418-M2-050m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,2,NA,8,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,20250418-M2-050m-2,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
144,20250418-M2-050m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,3,NA,9,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,20250418-M2-050m-3,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
145,20250418-M2-150m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,20250418-M2-150m-1,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
146,20250418-M2-150m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,20250418-M2-150m-2,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
147,20250418-M2-150m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,20250418-M2-150m-3,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
148,20250418-M2-300m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,20250418-M2-300m-1,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
149,20250418-M2-300m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,20250418-M2-300m-2,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
150,20250418-M2-300m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,20250418-M2-300m-3,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
151,20250418-M2-torp-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,0,passive,20,A,3 mins,NA,disk,2,Spring,36.7015,-122.3743333,0,shallow,Apr.25,20250418-M2-torp-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,20250418-M2-torp-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,0,passive,20,B,3 mins,NA,disk,2,Spring,36.7015,-122.3743333,0,shallow,Apr.25,20250418-M2-torp-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,20250418-Mars-torp-test,Testing torp with Iron,04.18.2025,NA,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,2,NA,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,20250418-Mars-torp-test,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,20250722-ESe-23a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,23,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe-23a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,20250722-ESe-23b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,23,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe-23b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,20250722-ESe19a,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe19a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,20250722-ESe19a-2,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe19a-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,20250722-ESe19b,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe19b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
