SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
20250417-OSWS-010m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-010m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,NA,3,NA,12,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-017m-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,1,NA,7,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,17,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-017m-2,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,2,NA,8,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,17,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-017m-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,17,active,0.22,3,NA,9,Sterivex,2,Spring,36.6775,-122.5351667,DeepChla,shallow,Apr.25,17,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,150,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,150,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.6775,-122.5351667,150,deep,Apr.25,150,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,300,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,300,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.6775,-122.5351667,300,deep,Apr.25,300,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-1,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-2,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-3,"MARS transit to OSWS, one filter torn",04.17.2025,NA,stationary,MARS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-st-1,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-st-2,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-air-st-3,NA,04.17.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-torp-1,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,1,3,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-torp-2,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,2,3,NA,disk,2,Spring,36.6775,-122.5351667,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-010m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,1,NA,7,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,1,NA,7,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,2,NA,8,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-2-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,NA,3,NA,9,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,2,NA,8,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,NA,3,NA,9,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-4,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,4,NA,10,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-4b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,4,NA,10,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-5,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,5,NA,11,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-5b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,5,NA,11,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-6,in silica,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,6,NA,12,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-010m-6b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,6,NA,12,Sterivex,2,Spring,36.8045,-121.858,10,shallow,Apr.25,10,TRUE,10,0,33.55089668,11.93733647,0.159538,6.14092136,267.4406705,10.07455919,11.93605715,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,1,NA,4,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,1,NA,4,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,2,NA,5,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,2,NA,5,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-3,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,3,NA,6,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-017m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,17,active,0.22,3,NA,6,Sterivex,2,Spring,36.8045,-121.858,DeepChla,shallow,Apr.25,17,TRUE,17,0,33.68451375,10.67624232,0.191464368,4.570124534,198.9690287,17.12745592,10.67422113,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-1,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,1,NA,1,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-1b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,1,NA,1,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-2,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,2,NA,2,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-2b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,2,NA,2,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-3,humpback surfaced,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,3,NA,3,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-150m-3b,back-up,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,3,NA,3,Sterivex,2,Spring,36.8045,-121.858,150,deep,Apr.25,150,TRUE,146,4,33.98820923,8.78020394,0.015568509,1.824783691,79.40242294,147.1481297,8.764720365,SynchroOSW - Spring2025 - CTD - C1.cnv
20250418-C1-air-st-1,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-air-st-2,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-air-st-3,NA,04.18.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-torp-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,0,passive,0.22,1,3,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-torp-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,0,passive,0.22,2,3,NA,disk,2,Spring,36.8045,-121.858,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-M2-010m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-010m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-010m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.7015,-122.3743333,10,shallow,Apr.25,10,TRUE,10,0,32.97212814,12.24130787,0.089488475,6.014911044,262.0806853,10.07261725,12.24001458,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-050m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,1,NA,7,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-050m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,2,NA,8,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-050m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,50,active,0.22,3,NA,9,Sterivex,2,Spring,36.7015,-122.3743333,DeepChla,shallow,Apr.25,50,TRUE,50,0,33.633229,9.79568429,0.056511378,2.496828097,108.6898489,50.37462236,9.790059593,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-150m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-150m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-150m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.7015,-122.3743333,150,deep,Apr.25,150,TRUE,150,0,34.03400517,8.227280993,0.007436162,2.009224287,87.41606864,151.1003168,8.211994172,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-300m-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-300m-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-300m-3,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.7015,-122.3743333,300,deep,Apr.25,300,TRUE,295,5,34.14179138,7.197349017,0.007326,1.105064297,48.06895613,297.4039334,7.169238743,SynchroOSW - Spring2025 - CTD - M2.cnv
20250418-M2-torp-1,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,0,passive,20,A,3 mins,NA,disk,2,Spring,36.7015,-122.3743333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-M2-torp-2,NA,04.18.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,0,passive,20,B,3 mins,NA,disk,2,Spring,36.7015,-122.3743333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-Mars-torp-test,Testing torp with Iron,04.18.2025,NA,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,2,NA,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe-23a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,23,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe-23b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,23,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe19a,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe19a-2,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe19b,torp,07.22.2025,11:50:00,transition,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,1,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe20a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe20b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe20c,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe21a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe21b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe21c,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe22a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe22b,20250722_Ese_22b,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,22,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe22c,20250722_Ese_22c,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,22,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250723-M1-010M-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-010M-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-010M-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-016m-1,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-016m-2,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-016m-3,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-150m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,150,deep,Jul.25,150,TRUE,150,0,34.07131411,9.440372177,0.010866919,1.799232661,78.29154839,151.1693548,9.423699968,SynchroOSW - Summer2025 - CTD - M1.cnv
20250723-M1-150m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,150,deep,Jul.25,150,TRUE,150,0,34.07131411,9.440372177,0.010866919,1.799232661,78.29154839,151.1693548,9.423699968,SynchroOSW - Summer2025 - CTD - M1.cnv
